set_number,err_true,err_train,err_cv,err_cv_flip,err_loo,err_grid_buffer,err_grid_buffer_flip,err_sloo
1,1.9880375458800714,2.0291449294974093,2.057754071948944,2.0537521907672436,2.046324730967271,2.0284699392936902,2.043456098489194,2.054628987840713
2,1.9918453379460384,2.0492386404549277,2.0665149988043345,2.060828946652425,2.0649427249798658,2.0674375798570526,2.099288654012242,2.0653457689023376
3,1.9919270566585365,2.0066213691562553,2.029588904545701,2.0203956107402083,2.0223227923452285,2.026862667828679,2.035859875191081,2.024567250333231
4,1.989231425838855,2.0023917965016493,2.0225104686701267,2.0268861250997863,2.018216581300675,2.014976059835885,2.0328644295889498,2.020107146809047
5,1.9967989788894567,1.9462852885261117,1.9618282826953124,1.9605290995416698,1.9609915873223809,1.9553740879508787,1.9825265502356622,1.9655236006926844
6,1.989623952984065,1.9799760676017466,1.9931675753985891,1.9943497775847066,1.9966393740127557,2.005313712452598,2.012868663413333,1.9979063387453269
7,1.9981031735777235,2.0471285028709425,2.0649833664437507,2.069425776383699,2.0635283223949603,2.0736200028709417,2.0866581228000185,2.0642787513333127
8,1.9929814488758049,1.9951206126633623,2.012748976908879,2.0156433452354707,2.009984944026169,1.9922562386451173,2.0098567917618295,2.0087858348282825
9,1.9910510026635047,2.067837683614594,2.08678551996481,2.0879149098884615,2.0846923160238076,2.117815597772712,2.1215078401395635,2.088018018995183
10,1.9968738496829037,1.9515326228449887,1.9605303530926053,1.9720629650381079,1.9672850004366458,1.9520218371721796,1.9768616594016064,1.9686695989813612
11,2.0007480765272483,1.9215316426634965,1.936143184149628,1.939942592718067,1.9372626610807764,1.9228540217745484,1.9518995984133232,1.934234364862891
12,2.0012983352293716,1.9899163898971397,2.0097614636687893,2.0000083694495214,2.0057309063070687,1.9756645608088423,2.015528166939402,2.0010199737297603
13,1.9954066293607202,2.028501598022949,2.041687850080359,2.0486792396157,2.0447916884408377,2.0387550261236553,2.04679603151601,2.045652505006508
14,2.0125789717595253,1.947079079080183,1.9567781981661483,1.959199738985784,1.9624759580916489,1.963962312643602,1.9645286901109926,1.9630774075336748
15,1.991857863199932,2.0301508135735973,2.0511785660772435,2.044368718192092,2.0469260512125054,2.0408010096817013,2.047971708956159,2.050643987789479
16,1.997195128172982,1.9334413641927526,1.9520475142181617,1.9539955411949468,1.9483790575323827,1.9547335144777793,1.9519441053806896,1.9489270192333772
17,1.9954948375915023,1.9685929574763297,1.9834131230480017,1.9902920969314009,1.9844343244339577,1.9914130882540928,1.9986853733329717,1.982280527971894
18,2.0031914487560387,2.0908181323813975,2.1054404465111776,2.1086302306718943,2.107546574349798,2.1057301545281666,2.1262595366259593,2.107496311634977
19,1.9897167308498307,1.956777932299456,1.9742782958696263,1.969156292231488,1.9720799865088836,1.964002206813958,1.986039839677703,1.975259923617377
20,1.997771787875067,2.007269963568224,2.0246964233541846,2.0241411112232464,2.0229834577662618,1.9790022813498553,2.0024946425358245,2.024117096814651
21,1.9906790797972824,1.9415373035346504,1.9621523688222509,1.9539559412434222,1.9578333084018325,1.946513573588221,1.9632589997724146,1.9609328261845396
22,1.9952427934046968,1.9456974263446891,1.960949415144723,1.9658801284522074,1.9612830688770244,1.9537654288847168,1.9771091511285037,1.965196997844579
23,1.9935878396120572,1.9541416350406886,1.9715947626174837,1.9634443720536978,1.969940071670944,1.9499275105773826,1.9669793443171564,1.9770557985259607
24,1.997002904809309,1.9125881254938244,1.9350687976025907,1.934609826466555,1.9288268728620668,1.9385109968823993,1.9370847719339668,1.9313287974599962
25,1.9946250802721308,1.9466114723868801,1.9642207911399046,1.9648788530999908,1.9626819503235367,1.9546054628304823,1.9715465361535798,1.963702413713293
26,1.9921520694451404,1.9740769859845293,1.9903438369136575,1.995140947169121,1.9893452108061818,1.9682557401830227,1.99205557766721,1.9859960615117405
27,1.9921839060767486,2.0287740302532287,2.053844076025493,2.0470894549817578,2.0458672289890374,2.0389238309361564,2.0661663895573437,2.0442616981647097
28,1.9913961704774792,1.9134678594839463,1.9314631792049253,1.9296507311735507,1.929583326579484,1.9208677183159275,1.9384700853650543,1.931524062222243
29,2.004681516716703,1.9167838987970627,1.9420474532110445,1.9362179842002245,1.9319867490727411,1.922676408556588,1.9336328540190957,1.9351863334383095
30,1.9989724808704294,1.9244197031218677,1.941028449430439,1.9452452571949448,1.9406745834916586,1.9327883271017174,1.9394567163328764,1.9438281741800345
31,1.99482520058525,1.9577507226660629,1.9752821760999602,1.9765031431655145,1.9745817235440508,1.9668456717356562,1.9869625916419722,1.9746389791222103
32,1.9904234172499236,2.061056007908337,2.073075229432106,2.0912312403542535,2.07932872778075,2.044379788117374,2.0793380706928617,2.077289037440017
33,2.014195855635332,2.0011468741271705,2.0181562364686085,2.0199596624126386,2.0173981041541924,2.0163937738241664,2.018135735542034,2.016644260439168
34,1.9959925242074732,1.920061302212582,1.9403439209234596,1.9419627619267277,1.93601326495733,1.9235810578013526,1.9372743894410605,1.9323464227111538
35,1.9961710104784165,1.9847938437125179,2.000899885229135,2.000070379755353,2.0010195439013696,1.9984695766734117,2.002634252431456,2.0062968107205963
36,1.9894623426503941,1.9951037699725507,2.0130512806099388,2.0137058973518838,2.011295942475329,2.003873814480135,2.015666485868869,2.013421849128827
37,1.990222014991833,2.0017714043259156,2.014870713071733,2.019314870970886,2.017899142364447,2.045630182830688,2.0464675583358796,2.016938188021421
38,1.9901058731902914,1.9642362314459052,1.9860166575013711,1.9760725817346352,1.9816550811747649,1.9753682570657616,1.9824368315282546,1.9798814390435047
39,2.0134815750178214,1.9702740532930287,1.9895886532630018,1.9851005793059886,1.9860619836507998,1.9888580720996016,1.9873517297857946,1.9851558119356632
40,1.9958646245550429,1.9251112569056335,1.937268817714894,1.9387002873493377,1.9413625411453292,1.9494075505162538,1.9552602279729667,1.943683200375032
41,1.995467199396866,1.9869641710158616,1.998956343697258,2.0058498414306403,2.0033814415877083,1.9860162401066663,1.9862317159690273,1.9989049009480304
42,1.9918981751857963,2.017262408705311,2.0370474887139514,2.0316693787241493,2.03421367722651,2.0209880400280555,2.0313591157404205,2.0393808752549245
43,1.9965099592896565,2.0515880293522315,2.068602621839574,2.0681940692037277,2.0687235908100363,2.0444550625530726,2.0749566676619784,2.0682712679177313
44,1.9919351655056263,2.049464426009545,2.0652045908248384,2.0686697527838205,2.0660533735343987,2.048776522580775,2.0644868059881714,2.069553701149953
45,1.9938513439959598,1.9324487339578313,1.9463264653621062,1.9552250814188032,1.9490572019851904,1.9350958272310887,1.9495615887345636,1.945054939834923
46,1.9987707830858492,1.9095685473673856,1.9200003896322904,1.9244923724161767,1.923978824346229,1.9381037742311207,1.9394147439366833,1.9271824541152498
47,1.997573673039764,1.9472734709518555,1.9656273989857618,1.9576567631102921,1.9627619336709694,1.9590607762504988,1.9716317144905906,1.9638828459379223
48,1.992018085052131,1.9631884825954338,1.9764118037189178,1.986719794774798,1.9792258455561087,1.9697912482707638,1.9881685620186575,1.9824068831640005
49,1.987349444834882,2.019350246298031,2.031986141752924,2.0434285875269125,2.034796203515266,2.037851052773869,2.044265292789133,2.0321657346082507
50,2.003114105286399,1.9748905023628667,1.9906703708499252,1.990846951482821,1.9912537431845427,2.0083567634108856,2.035406187123616,1.9965884495465505
51,1.9979959159678184,1.9324232478734824,1.956152265976235,1.9508428600965169,1.9481284719914578,1.9299980200574323,1.961517543572612,1.9438484402416372
52,1.9935580949541363,1.9901473091358255,2.006558998154653,2.0143675557224308,2.0068892944304575,2.020523552481124,2.027897543161407,2.003497579587336
53,2.0021018143909974,1.968155895713001,1.9868311043476905,1.9876933378971255,1.984427014183651,1.9849769130186958,1.9954182843322952,1.9876511756672886
54,1.9927216686219802,1.9057937848231592,1.923538984094625,1.9255154307503466,1.9201915055011318,1.9163074382551921,1.919889389656013,1.9237421512160393
55,1.9931319440624307,2.067752622004722,2.0907112881489613,2.088982272193315,2.0852243657623264,2.096660069359609,2.105942848497987,2.0891351283620034
56,1.9983111833471945,2.040594393613078,2.0625101837419355,2.0550959276022174,2.056136010925213,2.0467228519368685,2.067512617064387,2.0538266386635162
57,1.9975638486820873,1.994750477722666,2.0096437443284287,2.012865858709299,2.010547177596468,2.021499258853937,2.0387920839745632,2.0132994373717583
58,1.9956995373390296,1.9627567766051297,1.974981829530705,1.9766095400642338,1.9786985429022208,1.9524623553352491,1.977386450507566,1.9811410145734936
59,1.9980246099544507,2.037331853240317,2.061803295630548,2.0501636115442885,2.053320140924875,2.054773654950281,2.0696338146197366,2.0553719402668835
60,1.9905374519777363,2.034987009747541,2.0441723590921876,2.0489863637514856,2.050569874651847,2.0511485417323807,2.0692915671446737,2.051119830844902
61,1.9908919077461058,2.0622865761450173,2.0760095466453965,2.086409873595698,2.079614069377275,2.086942023305332,2.1161178440911064,2.0853084088384746
62,1.991064912999095,1.9760252277994241,1.9917820834792936,2.0006625641313738,1.9928371280606678,1.9910617445648862,1.9897182224893888,1.9973489738817065
63,1.9921267923864565,1.994557856064603,2.011868524455768,2.0107956990857536,2.0108316344759007,2.0052081512527224,2.0168094799078267,2.0104599284006492
64,1.997864521431695,1.9861009436757313,1.9993525950680469,2.0038724004946236,2.0014730092769937,2.0172615050399374,2.0215775330845664,2.0014535116627856
65,1.992017412570644,1.9481856335318533,1.965467122372907,1.9666353037644435,1.9644424625477945,1.9401604070230623,1.9619600665087231,1.9632448400294769
66,1.9950226543970562,1.9159286695111266,1.9330867895210944,1.9297373198687122,1.9320816367142126,1.9131100934200511,1.927680835742361,1.930278233776798
