set_number,err_true,err_train,err_cv,err_loo,err_grid_buffer,err_sloo
58,1.8086184706718076,1.4380643474654173,1.4529228962472904,1.4511931509674294,1.4648724018578416,1.4703577181707634
59,1.8716884708152126,1.6102666880114433,1.6203272546374266,1.6243997293516554,1.662015231996773,1.6391956665832883
60,1.741952037738314,1.43589423283548,1.4528403768767086,1.4504656322445622,1.4674906398354106,1.4853223267569418
61,1.7137491911364864,1.5440539763771308,1.5656955882230312,1.5602986674444024,1.5466227766936014,1.6310199321424241
62,1.7410495081827069,1.4756730671769764,1.4935768379134982,1.489177369140829,1.4974291171686938,1.5253135092357915
63,1.6938064359147968,1.6108512821327499,1.6287237733981383,1.6261393734792018,1.6169019898494672,1.6971142270792148
64,1.743907880540055,1.508838331973083,1.5210405304005445,1.5230135617084202,1.568895290615616,1.5626733835749154
65,1.7007266868523996,1.5359838592723047,1.5510958779491564,1.5509870228687184,1.6231472873615065,1.5913471768140686
66,1.762575190795418,1.584692063799796,1.5994527289595037,1.5990254026409891,1.7829582469122491,1.658797584628901
67,1.8727325630247136,1.7171396617373496,1.734934491099036,1.733437296591253,1.9070412328702175,1.8096310142152794
68,1.9347694433523546,1.668847520193698,1.6824606748517819,1.6852905119133057,1.7089720838003544,1.728566650559705
69,1.8099427869744713,1.5221140183588318,1.5373193926778823,1.5362990905058018,1.5180905888873133,1.5735882380495674
70,1.702064328837513,1.639123883644561,1.6597663264700175,1.6550963340565987,1.7145889313191778,1.694008877274375
71,1.7357389455640333,1.690898703726707,1.7079723497162953,1.7082144304949844,1.9860335067963135,1.7901585933597046
72,1.7152506877870815,1.4995850343043784,1.5120179118053736,1.5146004025013715,1.5201123619493264,1.5521379998796376
73,1.7196699006521476,1.4487337818353563,1.4641404882698221,1.4614938418518695,1.4508831774744,1.480257760800822
74,1.9148781790621492,1.6500402561697298,1.664324527419609,1.6654546742938172,1.7440091572349719,1.713025086122032
75,1.7025870189305827,1.5772375076950347,1.594034128497959,1.594196231965419,1.6932780373126408,1.666225884831978
76,1.786273561205269,1.6047505471615322,1.6213813198324065,1.6200274558005323,1.6735719192401715,1.6465125960238571
77,1.6881249979155681,1.6158948854604418,1.6334010628029312,1.6347945703437594,1.6985283693195756,1.6873241600684905
78,1.7786366380282275,1.5981469493845888,1.6185615765718195,1.6131013003900243,1.711010228918284,1.6364103936009475
79,1.759575292029366,1.457591849135167,1.4768648859319957,1.4720134108539973,1.4958237969531434,1.4914741290522233
80,1.7407572275276382,1.545904826863605,1.5594816556401856,1.5627969587797894,1.5625119712374524,1.5960543364645783
81,1.7053345177383976,1.5223072877528416,1.5333146453728537,1.535541694414217,1.5624115864405357,1.5720076308554576
82,1.7978583739665484,1.8125333479986814,1.8279331082954737,1.8282022585487439,1.9248400553128828,1.8938865849690933
83,1.7284317751834786,1.7049403278069317,1.7236682136394033,1.721502551498058,1.8541477588159052,1.764509282228914
84,1.7416341588869553,1.5327771322633443,1.545624574710673,1.54734968882035,1.644754953912523,1.609466453938206
85,1.7289602920171627,1.5429274436582612,1.5593478569770096,1.5586400340117734,1.634616146636418,1.5959449376970565
86,1.8358597125096028,1.7069758032836073,1.7236316675174368,1.7228912547126078,1.9026736110387295,1.7908508029740993
87,1.7697623946082224,1.5602625902690022,1.5755098941923127,1.5749637401937677,1.6069919103154484,1.6254978150932022
88,1.7816258698516156,1.3997801820424762,1.4165819302080107,1.414090116501104,1.43961808159132,1.4343676258839608
89,1.7461121513064395,1.6094828365679188,1.6236765965381565,1.623991001556732,1.7105643624462417,1.6591807180169242
90,1.7736911005248992,1.4852863060806052,1.4970532082034718,1.4983345192774893,1.5337914963191417,1.5293737936120486
91,1.7483308989087412,1.5855594537044466,1.6038630580130124,1.6002723684390623,1.894653800194401,1.6837068791866918
92,1.7266498472935095,1.5435352913556468,1.55705210270105,1.558020773522358,1.5848139633685845,1.5870735621818004
93,1.9225047251284262,1.3889951438814132,1.4059413029117962,1.4031892169260425,1.4614261845405174,1.4409232644848629
94,1.8296332529839074,1.510561772290176,1.5289039076229725,1.5244308514168687,1.7400657070036356,1.5696797532854005
95,1.7062438414564183,1.4973462415735712,1.5102890845095345,1.5116156162717247,1.6417747095115884,1.5493049441197468
96,1.7347327532350325,1.7193567902633418,1.7338650517928866,1.734516716896749,1.7377649892223843,1.7673890403049575
97,1.6901637401430445,1.6192153053077403,1.635404839633899,1.6358498849835157,1.6308598657939515,1.685265903661814
98,1.8773892784005237,1.5007518043794257,1.516388631437285,1.5166469187126685,1.5377822392593032,1.543678024796884
99,1.8389929203972288,1.7500158385994606,1.772662121707418,1.7673473801680286,1.9546444106342504,1.8457580375134628
100,1.6965343635220327,1.6099680000358167,1.62434302651858,1.6243129558665073,1.6786101384220902,1.6762783711496705
