set_number,err_true,err_train,err_cv,err_loo,err_grid_buffer,err_sloo
1,1.9858815025717387,1.904750192353604,1.9216071416670881,1.920268550901729,1.9358631682640675,1.9196613490292143
2,2.0036681476511733,2.0236986898935365,2.036888370424375,2.040709354495115,2.0568156478595667,2.040958399228409
3,1.988397833738765,1.9623562985293364,1.9769242628560255,1.9790594102762555,1.9810957457194298,1.9778695214857989
4,1.9923747604688775,1.9798175588398563,1.9942713714637093,1.9958457312365478,2.0069078982782074,1.9992467051147726
5,1.9862478703855244,2.0515857814692544,2.0743680532066855,2.068743527033904,2.0307756194927253,2.06765816254157
6,1.9847959644381459,1.93547508658838,1.9514179411609585,1.9510609655265085,1.947921522091208,1.949433550921988
7,1.9935774018925918,1.9298722910790638,1.9494375550722742,1.9447891623170994,1.9602242456158157,1.9496332947266575
8,1.9877745119263035,2.0414944269502224,2.0651936031090004,2.0576808542855844,2.0428110119595813,2.0611789939232232
9,1.9854117588264355,1.9676976584391583,1.9824260714724566,1.9842332629275408,1.9831942993178042,1.988562225122066
10,1.9942125687531824,1.9137521454366575,1.9327369458164299,1.9293330781076616,1.9171676238113677,1.930213071193017
11,1.9837057643018976,1.983950570399731,2.0012591726201623,2.0000710978915195,2.0056411664785343,2.000090826323708
12,1.9876864915728778,1.9723044406886638,1.986704991146764,1.9888472813574636,1.9868228415006457,1.989795103711834
13,1.9919789173906874,1.9926708821655714,2.015050817268275,2.0088253016182316,2.0000086662253107,2.0056163362497497
14,1.9820515168544741,1.967797678448744,1.9891815722962225,1.985210790067971,1.9747918008310423,1.9877307414386436
15,1.98374676249698,2.016645969779846,2.031993535783579,2.032597133880849,1.9926130383908076,2.0323630487900677
16,1.9853300532911247,1.9996077403269,2.024301391221757,2.0158954261696396,2.011860610776812,2.012557780463678
17,1.9831226556403265,2.013055261539629,2.02279622437561,2.0287073086410983,2.045886116349852,2.0287728289034197
18,1.9826903580043436,2.022889328138511,2.0392471508645262,2.0399178645266858,2.0343723047524254,2.0389992113626727
19,2.0007131783159577,1.9120448479462544,1.9277993270132352,1.9269244743302436,1.9327098215200325,1.9283700769829235
20,1.9906384170978106,1.9412656118816636,1.9533938925653647,1.9561996804701576,1.9374700429075369,1.950400547499207
21,1.9833218734474085,1.9896908799690032,2.0036217854342437,2.0054886452944243,1.992350719602561,2.005696120845606
22,1.9941970524381623,2.037040160827957,2.0526111562247618,2.0544281661039387,2.0542623920190977,2.0497764419798896
23,1.9884681004641003,1.9673352762636294,1.9780947019406379,1.982847638593457,1.987306425745082,1.9855204816569547
24,1.9838211581564644,1.9427490287522742,1.9588960796919124,1.9576643326339973,1.950240393931311,1.9562916613968546
25,1.9882452343094958,1.9599106247628932,1.9753804706925855,1.9769497137720733,1.9579815665102216,1.9766588004599082
26,1.9859565983509269,2.062523520724616,2.0785398563999258,2.078481122666184,2.0736793231107513,2.0771973296863617
27,1.9867692527507528,1.9382388778250996,1.955416098370804,1.9532502368241662,1.942541926733975,1.9493293426916922
28,1.9852620420764227,1.908668953325253,1.9244587137290634,1.9244219890640772,1.9300679241014027,1.9238054040714323
29,1.9893947440294812,1.973571296957346,1.9891463520918702,1.9901581229460532,1.979268556594512,1.9902988316133436
30,2.004381745469202,2.0008722654776108,2.016093627656078,2.0168209381573567,2.0140203551852105,2.0170604091762776
31,1.9841762957199176,2.0293203708030854,2.047065513828906,2.0458515188060153,2.0275536362506617,2.0436458455582414
32,1.9845146137278604,1.948002216481999,1.9633672273370786,1.9637207587932899,1.9562807394405888,1.9718821977770704
33,1.9880467651196387,1.913890402367789,1.9276369673285558,1.9282443473633173,1.9066177103560504,1.9309616724913077
34,1.987374798996442,1.9658849037087942,1.9873541511823476,1.9806658085862976,1.96813316378588,1.9785179677897136
35,1.995459280545765,2.1007249146684464,2.1188299018536236,2.1180474555226754,2.1019461778490807,2.1187390115187377
36,1.98982064751387,1.9420675374503122,1.9621900382092772,1.9574924069729684,1.959215327750948,1.964150896544171
37,1.9887602285590475,2.022290464906425,2.0383823860843315,2.037466148728354,2.0331494085855244,2.0387060752324815
38,1.9855789651431295,2.0133501789642483,2.0291313552729378,2.0290997736832557,2.024422578224542,2.0268967221933822
39,1.9991276605674855,1.8974466814620654,1.915473303703626,1.913033115607124,1.9110200823189734,1.9146112871544874
40,1.9911359438065646,2.028816450439696,2.0426255252389898,2.0462567727627152,2.0279437674654504,2.051386549554656
41,1.9877048882955026,2.017681214887692,2.040533536172598,2.033924343972773,2.0283916098393586,2.0364584317838306
