set_number,err_true,err_train,err_cv,err_loo,err_grid_buffer,err_sloo
62,1.9289289540810608,1.9315606481826324,1.9465627098667007,1.9474633112349027,1.932468873734996,1.946454306309496
63,1.934754423808709,2.046172419019154,2.065469272185256,2.0624528433866316,2.0562969308609818,2.065253555618697
64,1.9250053354383432,1.993813138840954,2.0088845482013666,2.0094791383592776,1.9901236062730898,2.0057014964988116
65,1.9268583036422744,1.8396831469426984,1.8528812488717312,1.8539573477167293,1.8530543071077763,1.8568647726169747
66,1.9300858198818676,1.899079434299244,1.9093946720183836,1.914790848646217,1.884434857471482,1.9160092678436416
67,1.9326423772018206,1.8772736260723448,1.8870625692327765,1.8927297849694147,1.8831580339589533,1.8897730866506948
68,1.9241701737217465,1.8563512635728006,1.8689816155011099,1.871106213114988,1.8690724221613222,1.8711547972969949
69,1.9236060302177977,1.8710676901202254,1.886141107710205,1.8856949968576824,1.8863364318477072,1.8870163628542997
70,1.930580839494509,1.9847476951518956,1.9977131480491097,2.001450510123148,2.0036615391243795,2.004259993251031
71,1.923934961733788,1.9332738965807785,1.9477303008494498,1.948744948431888,1.9539119169968988,1.955661951216603
72,1.9234807738759037,1.8733827583299103,1.8902662412731615,1.8886750179569556,1.9007967570922808,1.8907628368248213
73,1.9236538241695023,2.001184601081394,2.020014671646061,2.01861434314235,2.0064139108873658,2.020227728705078
74,1.9268953264025082,1.8394918859852274,1.8510576773684728,1.8544929917826452,1.8380497792704364,1.8552968550737348
75,1.9540836585466173,1.9583226640630502,1.9769920517991213,1.973997245545436,1.9705602315981492,1.9798692829403697
76,1.9351467045189856,1.9307606398212362,1.9457512427263424,1.946919879177337,1.9735342943341683,1.9543887514476321
77,1.930911141568956,1.8988331853892952,1.915548672286021,1.9148134309571767,1.9275302705712496,1.9142533443040992
78,1.9347927601760284,1.8805309575584581,1.8936612275027487,1.895836353292271,1.9030414982412982,1.8981681270691884
79,1.9315340507871739,1.8957877095487945,1.917559132236615,1.9114022894250762,1.9348711779251184,1.9117184422613023
80,1.929162312338667,1.856653429831472,1.8819933889439824,1.8721132518519112,1.8683931976862507,1.8716498721306505
81,1.9281970171571676,1.916782012828125,1.941045668238158,1.9323352355024077,1.9382605747143935,1.9337384522949477
82,1.9223441143976507,1.9407045646340397,1.9572009061669298,1.95610504381751,1.970875202344224,1.9585194898048557
83,1.9244196589343465,1.9160473937832692,1.9299301297939482,1.9307230163546452,1.9281516569641273,1.9329557542018367
84,1.924239580395231,1.865657745680315,1.8780815116298324,1.880656587802232,1.8741747751614997,1.8809919343086186
85,1.9324016617817998,1.8481959924396223,1.8624496676365163,1.8642878954335917,1.8456017234153486,1.8659934993453846
86,1.9396872775569345,1.8846874825849935,1.9004736994022962,1.9001817133462628,1.8870122576998052,1.9001691688611764
87,1.9271234649800684,1.9641380190455848,1.9808433205036169,1.9794785174442526,1.976739105296943,1.9837573157362391
88,1.9235339771444844,1.8907048352757305,1.905008449238935,1.9059554037356154,1.9182263419663268,1.9091742298036483
89,1.9321013358798964,1.893146428297866,1.9128515986500283,1.9082034721221326,1.9162509185405168,1.911598020535755
90,1.93305827724216,1.9300981123050094,1.940386825263744,1.94466559555588,1.9556607134025756,1.9446404985248897
91,1.9337709880354925,1.9727823370559736,1.9903235011725582,1.9889118088515496,1.9585205004409583,1.9921206890082575
92,1.927444884516272,1.971500807967736,1.9857872955303442,1.9878742128222826,1.9942490855248143,1.9958989327981191
93,1.9224421824445004,1.8972959811181016,1.91258907433851,1.912891070649038,1.9121219872882633,1.9169722213913356
94,1.92436958122745,1.9060851000452035,1.919777067312135,1.9213881094018281,1.907528023981683,1.92231625186369
95,1.9231845261109528,1.9206649455060123,1.934342504063723,1.9365278435938078,1.9414100027563246,1.9362432818473343
96,1.934933984602926,1.9519300002813758,1.9717455439628475,1.9678301730035224,1.9694845207418237,1.9691383454597629
97,1.924128626957157,1.966592997872592,1.9824983971298233,1.981856083255478,1.9543581999737547,1.9811601823994838
98,1.9382415008860416,1.9913910974208209,2.0104435890386,2.0079495753924643,1.978810112156909,2.0174949769160566
99,1.9322516708599118,1.9107690779251374,1.9233493617243846,1.9281226289584696,1.9447040852209356,1.9324209202985123
100,1.9283909838892404,1.8810077619398584,1.8930306454465093,1.89673421891669,1.902211265305971,1.8947089722240615
