set_number,err_true,err_train,err_cv2,err_cv10,err_cv50,err_loo
1,0.5022887279433997,0.5030394921851291,0.5177108718015789,0.5103497720141964,0.5100687046686847,0.5098966685833201
2,0.5037818887060724,0.48097150654311627,0.49063279914969915,0.48718906647751337,0.4867913018785538,0.48756510511185375
3,0.5019311328619607,0.47512267323383617,0.4880509233592329,0.48225901561733425,0.4825845261779116,0.48189387708338616
4,0.4997644548551018,0.48716542499680576,0.4889330432304612,0.4933905956445302,0.49451156527812484,0.49413792903531717
5,0.5033482986964003,0.49831680724286087,0.5037299212394344,0.5069904324692461,0.5059375670118956,0.5052447689771818
6,0.5009362621787069,0.47905042484235333,0.5084114704506677,0.48515726909384616,0.48558045759264806,0.48588672664876265
7,0.5042431338767925,0.4972618814984633,0.5063228251185098,0.5055186930423569,0.5044936996586791,0.5046086455779265
8,0.5043983948619735,0.47770395325157244,0.4936486077210676,0.48691578408061015,0.48473445726809294,0.4848944291442132
9,0.5049283145260073,0.515497811369169,0.5225738691444962,0.5223494624173448,0.5218394615290958,0.5224012742136004
10,0.5019929736443929,0.5197401733438369,0.5276446624896067,0.5267910369072992,0.5282025119955915,0.5272039477855198
11,0.5007718561576625,0.5053949845708092,0.5294923414379651,0.511590247676246,0.5131269776498812,0.5126424936709939
12,0.506125243357599,0.48085469435940614,0.48823606841433553,0.48834459823808146,0.48789396622301456,0.48793533152071855
13,0.5003540953623031,0.5005242700877023,0.5088198543716743,0.5081324850217769,0.5078405649463614,0.5076082097108094
14,0.5005962218058713,0.49912024285280593,0.5092616105633713,0.5057957915619617,0.5067599543879363,0.5061223260154929
15,0.5019446127685939,0.5129812575088671,0.5266236856856944,0.5228933396069525,0.5204446697060483,0.5202610074081181
16,0.5017151173332878,0.5101590651481399,0.5139422102360016,0.5167225404269742,0.5177958822283096,0.5173195960926441
17,0.4995232302355133,0.49563630722446306,0.5020057792566374,0.5016952062827962,0.502355538949735,0.5028272150115589
18,0.5007800174388543,0.5178832469419413,0.5277054004948807,0.5271029438920048,0.5250296302998878,0.5254452116903167
19,0.5021575701011677,0.5331064969954179,0.5489255138385299,0.5413255564919938,0.5406908878931308,0.5407554018430272
20,0.5011353222064386,0.5238043130609175,0.5368260282056271,0.5332836368363222,0.5322387175804307,0.5313940488653414
21,0.5040972321434378,0.5121756160002925,0.5320258423597071,0.5195633355210069,0.5188469956388738,0.5198181436964017
22,0.5014406780491025,0.506177221600984,0.5247423623872558,0.5134240761009156,0.5136724841822582,0.5136533346543305
23,0.5011099586307313,0.46593215979869557,0.47152787726511414,0.4738059047167385,0.47267070261181193,0.47231772610453726
24,0.5024861381582749,0.5018704696381237,0.507462666564904,0.50962747110211,0.508434671801099,0.5085822189714001
25,0.5052536947005196,0.4831028501768193,0.4868230595711063,0.4902856078266164,0.48958407004328924,0.4900931493260056
26,0.501848969682877,0.46678939913005607,0.48002806044715474,0.4755570021940487,0.4735409778076543,0.47348073724431994
27,0.5011118983161916,0.5269976165162789,0.5482827804419911,0.5344206210671345,0.5336054276089879,0.5341505002246094
28,0.5009577050134733,0.5338103236740813,0.5365007701305129,0.5408730525406074,0.5411777532919603,0.541464441998542
29,0.501827609383272,0.4959291720498045,0.49941286134804463,0.5034938141671356,0.5038991944918246,0.5034322123426876
30,0.5050211430054299,0.5070983937403503,0.5259908610968946,0.5159317986889657,0.5147186682132436,0.514298023876938
31,0.5004271909827036,0.49005373854061246,0.5047013314638915,0.49731715587485115,0.49714709244839506,0.4971003033245985
32,0.5039924998599242,0.5134190873734213,0.5206401607372875,0.5206566103622765,0.5209058179238975,0.5208470768657684
33,0.5076694356184975,0.47016203669714396,0.47407176933577755,0.47538863904184,0.47663456840444707,0.4768927388971945
34,0.5057435695886398,0.49291061965550637,0.4964934639314913,0.4997042438446318,0.4993207960150914,0.4998057839674388
35,0.5036524147019275,0.46969465404054966,0.4801296900974414,0.4783912710370697,0.47652776624599763,0.4765990880782832
36,0.5005192953162808,0.4668504870568222,0.47655192099237936,0.4755806881089583,0.4736986380077556,0.4737076674463316
37,0.5061439813861264,0.4717946080534734,0.4844987108145934,0.47979033522496234,0.4784521559264412,0.4783962329256149
38,0.5008751378918986,0.5080238754882596,0.5199227666936926,0.5151294780998298,0.5154582342379982,0.5152206787600079
39,0.5009821090054812,0.4990116732814827,0.5099012015352002,0.5060419623142336,0.5061822837350314,0.5061664606619213
40,0.5009240979255537,0.5048472684713449,0.5094094019793804,0.5108446606336301,0.5118110859998137,0.5116379646273551
41,0.5000642662322264,0.49645070588011336,0.5017857734035768,0.5044298573914233,0.5032306154691808,0.5035468757919983
42,0.5009630277234175,0.49948939303625534,0.5122210691970799,0.5076931840890031,0.5071328712257762,0.5068964872784762
43,0.5024096238861693,0.48187123751531685,0.49168776884719334,0.4884089642276305,0.4884203552805958,0.48877915763637453
44,0.5007022389724183,0.49611336114055404,0.5077717609155906,0.505364428428352,0.5034034390683996,0.5034189255027591
45,0.5041880421999679,0.5032409638402932,0.5269821408959852,0.5092807050056751,0.5113017211934031,0.5106813805691264
46,0.5041181164486727,0.476533026475269,0.4797625715963259,0.48356800622785995,0.48340001178870706,0.48331816431233804
47,0.5022720761970213,0.4919243816159657,0.5002117599339625,0.4973870959768454,0.5004565451295596,0.49905627658988644
