set_number,err_true,err_train,err_cv2,err_cv5,err_cv10,err_cv50,err_loo
1,0.5011513591473079,0.49534633538733824,0.5033884399884406,0.5023819413394535,0.5047138047596146,0.5022520043250986,0.502558206666692
2,0.5004917005251397,0.5163712203734492,0.552053592844723,0.5279113086519629,0.5240654176941324,0.5237063019967253,0.5238180398795582
3,0.5016748897001596,0.48097575783393587,0.49485616486298595,0.48726280828475194,0.48811220800577004,0.48798665580782336,0.487590544301568
4,0.49968837797961174,0.49011106928019255,0.4958578390742489,0.4956240285829579,0.4993065146322292,0.49744148437284397,0.4969844560180338
5,0.49892376526117116,0.4992613545855854,0.5092264143819651,0.5088442325458065,0.5086071731789775,0.5076508237291439,0.5070727562496372
6,0.49888835896807165,0.48443259530753396,0.49628040682126784,0.4919538793035216,0.4925412058798983,0.4927328181570829,0.4913515158550877
7,0.4997887210644539,0.4992194141029292,0.5035933909268434,0.5077845001409672,0.5071531977630883,0.5056581920970843,0.50624842914385
8,0.5021794163898249,0.46765044611882883,0.4700412628204056,0.476807253646761,0.476514056035235,0.4753955957434157,0.47455833523355534
9,0.49991906163173977,0.4815412769842685,0.4903860171605089,0.49297021657450724,0.4882704390243823,0.4891708839259439,0.48829762621183975
10,0.5023599313490805,0.4911547086300891,0.49941891557692686,0.49906524476749275,0.4978514962030193,0.49909013849494843,0.498235127473431
11,0.500806391984439,0.47917964278137304,0.4841138579591198,0.4856983079520822,0.4860718396526888,0.48630961658949473,0.48612534238879945
12,0.499217822480687,0.46228530984076366,0.47518182901563977,0.4732135978462535,0.47012310759653686,0.46932111463991705,0.46928097449116335
13,0.501887929936988,0.4908102570386122,0.517367490688397,0.4990999607528505,0.49779787546475673,0.49749030011053386,0.49808278518647
14,0.5022953927543945,0.5009527306537337,0.5088079709651918,0.5085269645255105,0.507372807224309,0.5090397985937175,0.5081415403362154
15,0.4997368440013364,0.48729769134641193,0.4993145373936174,0.49482197024762775,0.49455307561523026,0.4948343097356875,0.4944846636700397
16,0.5040164939072855,0.4872898269671713,0.495123071918092,0.4957708192337698,0.4954512099421412,0.49404928720515884,0.4942309491278608
17,0.5005314318726143,0.501225913577451,0.5294400299810653,0.5111398659594899,0.5096921024809712,0.5081071870539711,0.5080020893838015
18,0.5026472167850076,0.5039460102132314,0.5086680424627585,0.515205611739396,0.5111110766321896,0.511375624875607,0.511281580230883
19,0.5009296870653102,0.46636799894971576,0.4782105474930917,0.4709345716684617,0.4751205487298935,0.47364971073143497,0.4733094697798511
20,0.5017927087412235,0.4893934506369395,0.5023245406772517,0.4989301164808587,0.4955419764549001,0.49582925737128203,0.4963848646771331
21,0.5032138301310664,0.5208673754438831,0.5342314638847021,0.5291135398017551,0.5257649794012184,0.5276238976666277,0.5281125053048724
22,0.4991885708196804,0.515365839485055,0.5317638664984413,0.523011118915341,0.5213807893548056,0.5230795639833262,0.5228711981223447
23,0.4988430720955747,0.504764725078999,0.512335100092055,0.5082804884172407,0.5094752737381223,0.511491126713547,0.5112626866066435
24,0.5008404906910859,0.4959355514796845,0.5020604447945127,0.4995870049126893,0.503912735264543,0.5037531940311025,0.5035851889423927
25,0.49925383669391604,0.49110426396055934,0.4945716427156874,0.4996509511423279,0.5017306230749101,0.4981264761726949,0.4983668436235087
26,0.4993286415587276,0.48815616227646896,0.504516051522539,0.4999402225671128,0.49462734492502447,0.494538126152782,0.494774637070733
27,0.501311234269174,0.4655908662733051,0.4889967807754143,0.47377101804605887,0.47296419973885145,0.4730451981596187,0.472209184453037
28,0.49959986675706214,0.4909813813217767,0.5005552058303254,0.4949524821977705,0.4993223162985395,0.49808337210660864,0.4974889909945963
29,0.49975723043856496,0.4787306021022008,0.4896586285909725,0.487085925440427,0.486491075901888,0.485424764429383,0.48571884429050105
30,0.5030048147696149,0.4927928661219599,0.5002918281762738,0.49904749116814007,0.5014307486727047,0.49870817934445466,0.49990723468745457
31,0.4977497416907295,0.5067869583372957,0.5120314694412724,0.5149606333727162,0.5130027362237667,0.5135055302849624,0.51330143395829
32,0.4999353120724029,0.4873350882543316,0.49682648552493414,0.49848400392719744,0.49537427594653344,0.49486600363314637,0.49443404897659443
33,0.5032902708357136,0.5222082789120868,0.5402738626203917,0.528033955179216,0.5323858825722143,0.5294799081149324,0.5291065028451264
34,0.49922626647550145,0.5024631672742447,0.5153688731922876,0.5139605276404753,0.5082160228722387,0.5102506229438206,0.5097480857405462
35,0.49948307810528886,0.4422197731588485,0.44810127083580636,0.44843870292751753,0.44976438174692324,0.44827713029466626,0.4485914337217108
36,0.49902479428440144,0.48711971527625764,0.48982284073943455,0.4944412359904759,0.49471981736505466,0.4936712810219369,0.4939959575750907
37,0.5003521451783592,0.4891614769497629,0.49442376732876997,0.4970361641941402,0.4966399256476201,0.49496630639465977,0.4959454797340844
38,0.5008067347491202,0.49675351577731947,0.5080915581740396,0.5055517082009652,0.5042048174087839,0.5033642878000837,0.5031943324836128
39,0.5058410485799585,0.4954497971702111,0.5040464433585201,0.5028088411259245,0.502587097554374,0.5023659063900013,0.5025342963621535
40,0.5011444484022347,0.4950905989608441,0.49916449697352244,0.503890967254175,0.5008377573880333,0.5025491536872662,0.5020445384500717
41,0.5027698223819618,0.5023183259287779,0.5111367206639312,0.5086863158850237,0.5084586659919178,0.5101145532311365,0.5095283308510343
42,0.5001527356239285,0.5151207552445944,0.5253607618183053,0.5238709860586914,0.5218728469035593,0.5220948457983249,0.5224101511889794
43,0.5014109611163313,0.49478909448120345,0.5102791068451621,0.5036858613537017,0.5022661671170072,0.5015317150877767,0.5018087546334987
44,0.4988279724442376,0.4892921047137297,0.49416646335121667,0.4961005338833126,0.4972195220019581,0.496934922040723,0.4962223945857184
45,0.5018724530112687,0.5141697914727772,0.533501330244836,0.5207130261354943,0.5202521480204142,0.5213879344676089,0.5213192477556821
46,0.5010679269324385,0.49797511358515195,0.5040894280635824,0.5063536062821521,0.5054454829700175,0.504425090036731,0.5047570466957277
47,0.49971222645251084,0.4989705675527348,0.5040666547433725,0.509449808720964,0.5072692278149852,0.5061860473541836,0.5063586351138607
48,0.5042352000144271,0.47601131152380816,0.4858090640243062,0.48378031886211126,0.4829167105273253,0.4834864448667117,0.48302661483490617
49,0.5008669064006009,0.4713461557104313,0.4876592840716051,0.4788806319620809,0.48046527471687345,0.47906003668445285,0.4783502690166314
