set_number,sel_train,sel_cv,sel_cv_flip,sel_loo,sel_grid,sel_grid_flip,sel_sloo
1,4,2,2,2,2,2,2
2,4,2,2,2,3,2,2
3,4,3,4,3,4,3,3
4,4,3,2,2,2,2,2
5,4,2,3,2,3,2,3
6,4,2,2,2,2,2,2
7,4,2,2,2,2,2,2
8,4,4,2,2,2,2,2
9,4,3,3,3,3,3,3
10,4,2,2,2,4,4,2
11,4,3,3,3,3,3,3
12,4,3,4,2,2,2,2
13,4,3,3,3,4,3,3
14,4,3,3,3,2,2,3
15,4,2,2,2,3,2,2
16,4,2,2,2,2,2,4
17,4,2,2,2,2,2,2
18,4,4,3,3,3,3,3
19,4,2,2,2,2,2,2
20,4,3,3,3,2,2,4
21,4,2,2,2,2,2,2
22,4,3,3,3,3,2,3
23,4,2,2,2,4,4,2
24,4,2,4,2,2,2,3
25,4,2,2,2,2,2,2
26,4,2,2,2,2,2,2
27,4,3,3,3,3,3,3
28,4,4,3,3,3,3,3
29,4,4,2,4,4,4,4
30,4,2,2,2,2,2,2
31,4,2,2,3,2,2,2
32,4,4,3,3,3,3,3
33,4,2,2,2,3,3,2
34,4,2,2,2,3,2,2
35,4,3,3,3,2,2,3
36,4,3,3,2,4,4,2
37,4,3,2,2,3,2,2
38,4,3,3,3,3,3,3
39,4,3,2,2,2,4,2
40,4,2,2,2,2,3,2
41,4,2,2,2,2,2,2
42,4,3,2,2,3,3,3
43,4,3,2,2,2,2,2
44,4,2,2,2,2,2,2
45,4,2,2,2,2,2,2
46,4,4,4,4,4,3,4
47,4,2,2,2,3,2,2
48,4,2,2,2,3,3,2
49,4,2,2,2,2,2,2
50,4,3,2,2,3,2,2
51,4,2,2,2,2,2,2
52,4,2,2,2,2,2,2
53,4,2,2,2,3,3,2
54,4,4,3,4,2,2,4
55,4,2,2,2,3,3,2
56,4,3,3,3,4,4,4
57,4,2,2,2,2,2,2
58,4,2,2,2,2,2,2
59,4,3,3,2,3,2,2
60,4,4,2,2,2,2,3
61,4,3,2,3,3,3,3
62,4,2,2,3,3,3,3
63,4,2,3,2,2,2,2
64,4,3,3,3,4,2,2
65,4,2,2,3,3,3,2
66,4,2,2,2,2,2,2
67,4,3,2,2,4,2,4
68,4,3,2,2,4,4,3
69,4,2,2,2,2,2,2
70,4,2,2,2,2,2,2
71,4,2,2,2,2,2,2
72,4,2,3,2,2,2,2
73,4,3,3,3,3,3,3
74,4,2,2,2,2,2,2
75,4,2,2,2,2,2,2
76,4,2,4,2,3,3,2
77,4,4,3,3,4,4,4
78,4,4,4,4,4,4,4
79,4,2,2,2,3,3,2
80,4,2,3,2,2,2,2
81,4,4,2,4,4,4,4
82,4,2,2,2,2,2,2
83,4,2,2,2,2,2,2
84,4,3,3,3,3,3,3
85,4,2,2,2,2,2,2
86,4,2,2,2,2,2,2
87,4,3,2,2,2,2,2
88,4,3,2,4,2,2,4
89,4,3,3,3,3,3,3
90,4,4,4,4,4,2,4
91,4,3,3,3,2,2,3
92,4,2,2,2,2,2,2
93,4,2,2,2,2,2,2
94,4,2,2,2,2,2,2
95,4,3,3,3,2,2,3
96,4,4,3,3,4,3,4
97,4,3,4,3,2,2,3
98,4,2,2,2,2,2,2
99,4,2,2,2,3,3,2
100,4,2,3,2,2,2,2
