set_number,sel_train,sel_cv,sel_cv_flip,sel_loo,sel_grid,sel_grid_flip,sel_sloo
1,7,7,4,4,5,4,4
2,5,6,5,5,6,6,5
3,5,7,5,4,4,7,4
4,6,7,7,4,7,7,4
5,7,6,4,4,4,4,4
6,7,7,7,7,7,7,7
7,5,5,5,5,5,5,5
8,6,4,4,6,4,4,6
9,5,5,5,5,5,4,4
10,5,5,5,4,5,5,4
11,6,6,6,6,6,4,6
12,5,5,5,5,7,7,5
13,6,6,5,4,4,4,6
14,6,5,7,4,4,4,4
15,6,4,6,6,4,4,6
16,5,4,7,5,5,4,5
17,6,4,7,6,6,6,6
18,6,6,6,6,6,7,6
19,6,6,5,6,4,5,4
20,5,4,4,5,4,4,4
21,7,7,7,4,4,4,4
22,5,5,5,5,5,5,5
23,5,4,5,4,5,5,4
24,7,4,7,7,4,4,5
25,5,5,6,5,4,6,5
26,6,6,4,6,6,6,4
27,7,4,4,4,4,4,4
28,5,4,5,4,5,4,4
29,5,5,5,5,5,5,5
30,5,4,4,4,5,4,4
31,7,6,7,4,4,4,4
32,6,6,6,6,4,4,6
33,5,5,4,4,4,4,4
34,7,4,4,4,4,4,4
35,7,4,5,4,4,4,4
36,7,7,7,7,7,4,7
37,6,6,4,4,4,4,4
38,6,7,6,4,4,4,4
39,6,5,5,4,6,6,4
40,7,7,7,4,4,4,4
41,6,7,6,6,6,6,6
42,5,5,4,4,5,5,5
43,6,6,5,4,4,4,4
44,7,5,7,7,6,4,7
45,5,5,4,5,5,5,5
46,5,4,4,4,4,4,4
47,5,5,4,4,4,4,4
48,7,7,5,4,4,4,4
49,6,4,5,4,4,4,4
50,5,4,5,4,5,5,4
51,6,5,5,4,7,7,4
52,7,5,4,4,7,7,4
53,7,7,7,7,4,5,7
54,7,4,4,4,4,4,4
55,5,4,6,4,5,5,4
56,5,4,7,4,4,4,4
57,7,7,7,7,5,7,7
58,7,7,7,7,7,7,4
59,5,5,6,5,5,7,5
60,7,6,4,7,5,5,7
61,6,7,7,4,5,6,4
62,5,5,5,5,5,5,5
63,6,7,4,4,4,4,4
64,5,4,5,4,4,4,5
65,7,4,4,7,7,5,7
66,6,6,6,4,4,4,4
67,5,4,4,4,4,4,4
68,7,5,6,7,7,4,7
69,5,4,4,4,4,5,4
70,7,5,4,7,7,7,7
71,6,6,4,4,4,4,4
72,7,5,4,7,4,4,7
73,7,6,6,4,6,6,7
74,7,5,4,4,4,4,4
75,5,4,4,4,7,7,4
76,6,5,4,4,7,4,4
77,5,5,4,4,5,5,4
78,7,4,4,4,5,4,4
79,7,4,7,4,4,4,4
80,6,5,5,4,4,4,4
81,5,4,5,4,5,5,5
82,5,4,7,4,5,7,4
83,5,6,7,4,5,4,4
84,7,4,7,7,4,4,7
85,6,6,4,6,6,6,6
86,5,5,6,4,4,4,4
87,6,4,5,4,6,4,4
88,7,4,6,4,4,4,4
89,5,5,4,4,4,4,4
90,7,4,4,4,5,4,4
91,5,4,7,4,4,4,4
92,5,5,5,5,5,5,5
93,5,4,7,4,7,7,4
94,6,4,5,4,4,4,4
95,6,4,4,4,4,4,4
96,7,5,7,7,7,7,7
97,5,7,7,4,4,4,4
98,6,4,5,4,7,4,4
99,6,6,7,4,4,4,4
100,6,4,7,4,4,4,4
