set_number,sel_train,sel_cv,sel_cv_flip,sel_loo,sel_grid,sel_grid_flip,sel_sloo
1,6,6,7,6,6,6,6
2,5,5,5,5,5,5,5
3,6,6,4,4,7,7,4
4,5,5,7,4,6,4,4
5,7,4,7,7,7,7,7
6,5,4,5,4,7,4,4
7,5,4,4,4,7,7,4
8,6,6,7,6,6,6,6
9,5,7,4,4,4,4,4
10,7,4,6,4,7,5,4
11,7,4,6,4,7,4,7
12,6,6,4,4,6,6,4
13,6,5,6,6,6,4,6
14,6,4,4,4,6,6,4
15,7,7,7,7,7,4,7
16,7,4,7,4,4,6,4
17,7,7,7,4,7,4,4
18,6,6,6,6,6,6,6
19,6,5,6,6,4,4,6
20,5,5,7,4,5,4,4
21,6,5,4,4,6,6,4
22,6,7,4,4,6,4,4
23,6,7,4,4,6,6,4
24,6,4,4,4,7,7,4
25,6,4,4,6,5,5,6
26,5,4,4,4,4,4,4
27,7,7,7,7,7,7,7
28,6,5,6,4,4,4,6
29,5,4,4,4,5,4,4
30,5,4,5,5,5,5,5
31,5,5,4,4,6,4,4
32,7,7,7,7,4,4,7
33,6,6,4,6,4,4,6
34,7,7,7,4,4,4,4
35,5,4,5,4,4,6,4
36,7,7,7,7,7,4,7
37,5,5,6,5,5,5,5
38,6,7,7,4,4,6,4
39,7,4,7,7,4,7,7
40,6,4,4,4,6,6,4
41,7,5,6,4,7,4,4
42,6,7,6,6,6,4,6
43,6,6,7,6,6,6,6
44,6,4,4,6,6,6,6
45,7,7,7,7,7,7,7
46,5,5,7,4,4,4,4
47,7,7,7,7,7,4,7
48,7,7,4,4,4,5,4
49,5,4,4,4,5,4,4
50,6,7,4,4,4,4,4
51,5,4,5,4,7,4,4
52,6,4,7,6,6,6,6
53,6,6,7,6,6,6,6
54,6,6,4,4,4,4,4
55,5,4,4,4,4,4,4
56,6,6,6,6,6,6,6
57,6,6,7,6,4,4,6
58,7,4,4,4,4,6,4
59,7,5,7,4,7,7,4
60,5,5,4,4,4,4,4
61,5,4,5,5,5,5,5
62,7,7,7,7,7,7,7
63,5,4,5,4,4,5,4
64,6,4,7,4,4,4,4
65,7,7,6,7,7,7,7
66,7,7,4,7,7,7,7
67,6,6,6,6,6,6,6
68,6,7,4,4,4,4,4
69,5,5,5,5,5,5,5
70,6,6,6,6,6,6,6
71,6,4,6,6,4,6,6
72,7,5,4,4,7,7,4
73,5,5,5,5,5,5,5
74,7,7,4,7,7,4,7
75,7,4,4,4,4,4,4
76,5,5,7,4,7,7,5
77,7,7,4,4,4,4,4
78,6,6,4,6,6,5,6
79,7,7,7,7,7,7,7
80,7,7,5,4,4,4,4
81,7,4,4,4,7,4,4
82,5,4,5,4,4,4,4
83,7,7,7,4,7,7,7
84,6,6,4,6,6,6,6
85,7,4,5,7,5,4,7
86,5,7,4,5,6,4,5
87,5,6,4,4,4,4,4
88,6,5,7,4,6,4,4
89,7,4,4,4,7,7,4
90,7,4,5,4,7,7,4
91,6,4,7,6,5,6,6
92,7,4,4,4,4,4,4
93,7,4,4,4,4,4,4
94,7,5,7,7,5,6,4
95,5,5,4,5,5,5,5
96,6,6,6,4,4,4,6
97,6,6,6,6,4,6,6
98,6,4,6,6,4,4,6
99,6,4,7,6,6,6,4
100,5,4,4,4,5,5,4
