set_number,sel_train,sel_cv,sel_cv_flip,sel_loo,sel_grid,sel_grid_flip,sel_sloo
1,6,6,6,6,6,6,6
2,5,5,5,5,5,5,5
3,5,4,6,4,7,7,4
4,5,5,5,5,5,5,5
5,5,5,5,5,5,7,5
6,7,7,7,7,7,7,4
7,5,4,5,5,5,7,5
8,6,6,7,6,6,6,6
9,6,5,4,4,4,4,4
10,6,4,6,4,4,5,4
11,6,5,6,4,7,7,4
12,6,6,4,6,4,6,4
13,6,5,6,6,6,4,6
14,6,7,4,4,4,6,4
15,7,7,7,7,7,4,7
16,7,4,7,4,4,4,4
17,7,7,7,7,7,7,7
18,6,6,4,4,6,6,4
19,6,6,6,6,6,4,6
20,5,5,7,5,6,6,4
21,6,5,4,4,6,6,4
22,7,6,4,4,6,6,4
23,6,7,4,6,6,6,6
24,5,4,4,4,4,5,4
25,5,4,4,5,5,5,5
26,5,4,4,4,4,4,4
27,7,7,7,7,6,4,7
28,6,6,6,6,6,4,6
29,5,4,4,5,5,5,4
30,5,5,5,5,5,5,5
31,5,5,4,4,4,4,4
32,7,7,7,4,4,4,7
33,6,6,4,6,4,7,6
34,5,7,7,4,4,4,4
35,6,4,5,4,4,4,4
36,7,7,7,7,7,4,7
37,5,5,6,5,5,5,5
38,7,7,7,4,4,4,4
39,7,7,7,7,7,7,7
40,5,5,5,5,5,6,5
41,7,5,6,4,7,4,4
42,6,6,6,6,6,6,6
43,6,6,7,6,4,4,5
44,6,4,4,4,4,4,4
45,7,7,7,7,7,7,7
46,5,5,7,4,5,4,4
47,7,7,7,7,7,7,7
48,6,4,4,4,4,5,4
49,6,5,4,6,5,4,4
50,5,7,4,4,4,5,4
51,5,4,5,4,7,7,4
52,7,4,7,4,4,7,4
53,6,6,7,6,6,6,6
54,5,5,4,4,4,4,4
55,7,7,4,4,4,4,4
56,6,6,6,6,7,6,4
57,7,7,7,4,7,4,7
58,6,4,4,4,4,6,4
59,7,5,7,7,7,7,7
60,7,7,4,7,7,7,7
61,5,4,5,5,5,5,5
62,7,7,7,7,7,7,7
63,5,7,4,4,4,5,4
64,6,4,7,6,6,6,6
65,7,7,6,7,4,7,7
66,7,7,7,7,7,7,7
67,6,6,6,6,6,6,6
68,7,7,4,4,4,4,4
69,5,5,5,5,7,5,5
70,6,6,6,6,6,6,6
71,6,4,6,4,4,6,4
72,7,6,4,7,4,6,4
73,5,5,5,5,4,5,5
74,5,4,4,4,4,4,4
75,6,4,4,4,4,4,4
76,5,5,5,5,5,5,5
77,7,7,7,7,4,4,4
78,6,6,6,6,7,5,6
79,7,7,7,7,7,4,7
80,5,5,5,4,4,4,4
81,7,4,4,4,7,7,4
82,7,4,7,7,7,4,7
83,5,7,7,5,5,5,5
84,6,6,6,6,6,6,6
85,5,5,5,5,6,6,4
86,5,7,5,5,5,5,5
87,6,6,4,4,4,4,4
88,7,7,7,4,6,4,4
89,5,7,5,5,5,5,5
90,5,4,5,5,7,7,5
91,6,6,4,6,5,6,6
92,7,4,4,4,4,4,4
93,7,4,4,7,4,4,7
94,6,6,7,6,6,6,6
95,5,5,4,5,5,7,5
96,6,6,6,4,4,4,6
97,6,6,6,6,4,4,6
98,6,6,6,6,4,6,6
99,6,6,6,6,4,6,4
100,5,4,6,5,5,5,4
